Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5008851,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,12,1
5008852,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,1,1
5008853,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,16,1
5008854,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2,1
5008855,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,29,1
5008856,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4,1
5008857,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,28,1
5008858,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,11,1
5008859,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,5,1
5008860,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4,1
5008861,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4,1
5008862,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,3,1
5008863,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2,1
5008864,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,3,1
5008865,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2,1
5008866,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2,1
5008867,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4,1
5008868,0,0,1,1,211500,2,4,0,1,1,0,0,0,3,3,45,20,0,25,1
5008870,0,0,1,1,211500,2,4,0,1,1,0,0,0,3,3,45,20,0,12,1
5008872,1,1,1,0,360000,0,4,1,1,1,0,1,0,16,2,46,15,1,10,1
5008873,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,22,1
5008874,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,46,1
5008875,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,40,1
5008876,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,44,1
5008877,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,8,1
5008878,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,3,9,1
5008879,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,22,1
5008880,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,11,1
5008881,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,20,1
5008882,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,40,1
5008888,0,0,1,0,247500,0,1,2,4,1,0,0,0,3,1,47,4,0,6,1
5008889,0,0,1,0,247500,0,1,2,4,1,0,0,0,3,1,47,4,0,5,1
5008890,0,0,1,0,247500,0,1,2,4,1,0,0,0,3,1,47,4,0,6,1
5008891,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,8,1
5008892,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008893,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,37,1
5008894,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,37,1
5008895,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,35,1
5008896,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008897,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008898,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,21,1
5008899,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008900,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,21,1
5008901,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008902,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20,1
5008903,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008904,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20,1
5008905,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008906,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20,1
5008907,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008908,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20,1
5008909,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008910,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20,1
5008911,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008912,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20,1
5008913,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008914,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,18,1
5008915,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008916,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,17,1
5008917,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008918,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,16,1
5008919,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16,1
5008920,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,15,1
5008921,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,14,1
5008922,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,13,1
5008923,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,13,1
5008924,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,13,1
5008925,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,13,1
5008926,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,11,1
5008927,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,10,1
5008928,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,9,1
5008929,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,8,1
5008930,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,7,1
5008931,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,6,1
5008932,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,6,1
5008933,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,6,1
5008934,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,5,1
5008935,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,5,1
5008936,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,4,1
5008937,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,2,1
5008938,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,2,1
5008939,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,1,1
5008940,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,2,1
5008941,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,8,1
5008942,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13,1
5008943,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,0,15,1
5008944,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13,1
5008945,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13,1
5008946,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13,1
5008947,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,13,1
5008948,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,13,1
5008949,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,1,1
5008950,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,13,1
5008955,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,5,1
5008956,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,40,1
5008957,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,40,1
5008958,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,4,1
5008959,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,16,1
5008960,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,29,1
5008962,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,27,1
5008963,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,39,1
5008981,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,11,1
5008983,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,12,1
5008984,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,59,1
5008986,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,11,1
5008987,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,11,1
5008988,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,17,1
5008991,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,29,1
5008992,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,7,1
5008993,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,18,1
5008994,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,20,1
5008995,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,19,1
5008998,0,1,1,0,270000,4,1,1,1,1,0,0,1,10,2,30,3,0,4,1
5008999,0,1,1,0,270000,4,1,1,1,1,0,0,1,10,2,30,3,0,4,1
5009000,1,1,1,0,157500,4,4,1,1,1,0,0,0,4,2,28,3,0,23,1
5009001,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7,1
5009002,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7,1
5009005,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7,1
5009006,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,11,1
5009007,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,11,1
5009008,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7,1
5009009,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,11,1
5009010,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7,1
5009012,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,6,1
5009014,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7,1
5009027,0,1,1,0,270000,0,4,1,1,1,0,0,1,8,2,55,30,0,22,1
5009028,0,1,1,0,225000,0,4,1,1,1,0,0,0,8,2,40,8,1,10,1
5009029,0,1,1,0,225000,0,4,1,1,1,0,0,0,8,2,40,8,0,16,1
5009031,0,0,1,0,315000,4,4,3,1,1,0,0,0,0,1,29,4,0,14,1
5009032,0,0,1,0,315000,4,4,3,1,1,0,0,0,0,1,29,4,0,14,1
5009039,0,0,1,2,157500,4,4,3,1,1,0,0,0,3,3,40,2,0,9,1
5009040,0,0,1,2,157500,4,4,3,1,1,0,0,0,3,3,40,2,0,4,1
5009042,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,21,1
5009043,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,19,1
5009044,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,1,14,1
5009045,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,1,14,1
5009046,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,8,1
5009047,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,12,1
5009050,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,14,1
5009051,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,1,42,1
5009052,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,48,1
5009053,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,14,1
5009055,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,14,1
5009056,1,0,1,0,202500,4,4,3,1,1,1,0,0,4,1,25,3,0,10,1
5009057,1,0,1,0,202500,4,4,3,1,1,1,0,0,4,1,25,3,0,10,1
5009058,0,1,1,0,112500,0,4,3,1,1,0,1,1,12,1,21,3,0,1,1
5009062,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,38,1
5009063,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,28,1
5009064,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,5,1
5009065,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,11,1
5009066,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,16,1
5009067,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,5,1
5009068,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,23,1
5009069,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,36,1
5009070,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,38,1
5009071,0,1,1,0,270000,0,2,0,2,1,0,1,1,6,2,29,9,0,21,1
5009072,0,1,1,0,270000,0,2,0,2,1,0,1,1,6,2,29,9,0,24,1
5009074,0,1,1,1,450000,2,1,1,1,1,0,1,1,3,3,49,2,0,23,1
5009075,0,1,1,1,450000,2,1,1,1,1,0,1,1,3,3,49,2,0,24,1
5009078,1,0,1,1,180000,4,4,1,5,1,0,0,0,4,3,39,4,0,31,1
5009079,0,0,1,0,112500,4,1,0,1,1,0,0,1,8,2,28,9,0,44,1
5009080,0,0,1,0,112500,4,1,0,1,1,0,0,1,8,2,28,9,4,12,1
5009081,0,0,1,0,112500,4,1,0,1,1,0,0,1,8,2,28,9,0,17,1
5009083,1,0,1,0,90000,4,4,1,1,1,0,0,0,4,2,57,16,0,48,1
5009084,1,0,1,0,90000,4,4,1,1,1,0,0,0,4,2,57,16,0,3,1
5009088,1,1,0,2,202500,0,1,1,1,1,0,0,0,8,4,41,9,0,41,1
5009089,1,1,0,2,202500,0,1,1,1,1,0,0,0,8,4,41,9,0,40,1
5009090,1,1,1,0,247500,4,4,1,1,1,0,0,0,4,2,35,12,0,14,1
5009092,1,1,1,1,765000,4,1,1,1,1,1,0,0,10,3,34,4,2,2,0
5009094,1,1,1,1,765000,4,1,1,1,1,1,0,0,10,3,34,4,0,4,1
5009095,1,1,1,1,765000,4,1,1,1,1,1,0,0,10,3,34,4,0,4,1
5009096,0,0,1,1,270000,0,4,1,1,1,0,0,1,0,3,38,13,0,25,1
5009097,0,0,1,1,270000,0,4,1,1,1,0,0,1,0,3,38,13,0,15,1
5009098,0,0,1,1,270000,0,4,1,1,1,0,0,1,0,3,38,13,0,18,1
5009099,0,0,1,0,315000,4,1,2,1,1,0,0,0,10,1,37,2,0,29,1
5009100,0,0,1,0,315000,4,1,2,1,1,0,0,0,10,1,37,2,0,28,1
5009103,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,39,1
5009104,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,28,1
5009105,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,31,1
5009106,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,61,1
5009108,1,0,1,0,360000,0,4,1,1,1,0,0,0,16,2,42,8,0,8,1
5009109,1,0,1,0,360000,0,4,1,1,1,0,0,0,16,2,42,8,0,21,1
5009110,0,0,1,0,112500,0,1,1,1,1,0,0,1,6,2,25,1,1,3,1
5009141,0,0,0,0,135000,4,4,0,1,1,1,1,0,10,2,27,5,0,34,1
5009142,0,0,0,0,135000,4,4,0,1,1,1,1,0,10,2,27,5,0,12,1
5009145,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,0,36,1
5009146,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,1,25,1
5009147,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,0,13,1
5009149,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,0,8,1
5009150,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,1,17,1
5009151,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,30,1
5009152,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,48,1
5009153,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,48,1
5009154,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,29,1
5009155,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,28,1
5009156,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,18,1
5009157,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,48,1
5009158,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,44,1
5009159,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,15,1
5009160,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,22,1
5009161,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,2,22,1
5009162,0,0,0,0,180000,4,4,1,1,1,0,0,0,14,2,54,8,0,48,1
5009163,0,0,0,0,157500,4,4,1,1,1,0,1,0,14,2,36,9,0,13,1
5009164,0,0,0,0,157500,4,4,1,1,1,0,1,0,14,2,36,9,0,17,1
5009165,0,0,0,0,157500,4,4,1,1,1,0,1,0,14,2,36,9,0,17,1
5009166,0,0,0,0,157500,4,4,1,1,1,0,1,0,14,2,36,9,0,17,1
5009168,0,0,0,0,157500,4,4,1,1,1,0,1,0,14,2,36,9,0,17,1
5009177,1,1,0,0,229500,4,2,1,0,1,0,0,0,8,2,51,4,1,49,1
5009178,1,1,0,0,229500,4,2,1,0,1,0,0,0,8,2,51,4,1,34,1
5009179,1,1,0,0,229500,4,2,1,0,1,0,0,0,8,2,51,4,0,13,1
5009180,1,1,0,0,229500,4,2,1,0,1,0,0,0,8,2,51,4,1,38,1
5009181,1,1,0,0,229500,4,2,1,0,1,0,0,0,8,2,51,4,1,12,1
5009182,1,1,0,0,229500,4,2,1,0,1,0,0,0,8,2,51,4,0,35,1
5009183,1,1,0,0,229500,4,2,1,0,1,0,0,0,8,2,51,4,0,32,1
5009186,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,1,3,1
5009187,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,0,6,1
5009188,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,0,17,1
5009189,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,0,17,1
5009190,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,0,23,1
5009191,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,0,17,1
5009192,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,0,34,1
5009193,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,49,16,1,29,1
5009195,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,7,1
5009196,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,8,1
5009198,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,46,1
5009201,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,2,1
5009202,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,7,1
5009203,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,21,1
5009204,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,3,1
5009205,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,6,1
5009206,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,22,1
5009207,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,22,1
5009208,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,42,1
5009209,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,1,45,1
5009210,0,0,0,0,292500,2,4,1,1,1,1,1,0,0,2,58,24,0,4,1
5009213,0,0,0,0,270000,4,1,1,1,1,1,1,0,0,2,34,3,0,23,1
5009215,0,0,0,0,270000,4,1,1,1,1,1,1,0,0,2,34,3,1,57,1
5009216,0,0,0,0,270000,4,1,1,1,1,1,1,0,0,2,34,3,0,7,1
5009217,0,0,0,0,270000,4,1,1,1,1,1,1,0,0,2,34,3,0,7,1
5009220,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,28,1
5009222,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,48,1
5009223,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,41,1
5009224,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,51,1
5009225,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,28,1
5009226,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,48,1
5009227,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,21,1
5009232,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,36,1
5009233,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,48,1
5009234,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,14,1
5009236,0,1,0,0,225000,4,4,1,1,1,1,0,0,10,2,41,3,0,31,1
5009238,1,1,0,0,157500,4,2,1,5,1,0,1,0,4,2,30,3,0,21,1
5009239,1,1,0,0,157500,4,2,1,5,1,0,1,0,4,2,30,3,0,15,1
5009240,1,1,0,0,157500,4,2,1,5,1,0,1,0,4,2,30,3,0,34,1
5009241,1,1,0,0,157500,4,2,1,5,1,0,1,0,4,2,30,3,0,11,1
5009242,0,0,0,0,74250,4,1,2,2,1,0,1,0,3,1,53,15,0,35,1
5009243,0,0,0,0,74250,4,1,2,2,1,0,1,0,3,1,53,15,0,8,1
5009244,0,0,0,0,74250,4,1,2,2,1,0,1,0,3,1,53,15,0,9,1
5009249,1,1,0,1,135000,4,4,1,1,1,1,0,0,4,3,28,3,0,27,1
5009250,1,1,0,1,135000,4,4,1,1,1,1,0,0,4,3,28,3,0,10,1
5009251,1,1,0,1,135000,4,4,1,1,1,1,0,0,4,3,28,3,0,27,1
5009252,1,1,0,1,135000,4,4,1,1,1,1,0,0,4,3,28,3,0,13,1
5009253,1,1,0,1,135000,4,4,1,1,1,1,0,0,4,3,28,3,0,23,1
5009255,0,0,0,0,144000,4,4,3,1,1,0,0,0,1,1,44,25,0,7,1
5009257,0,0,0,0,144000,4,4,3,1,1,0,0,0,1,1,44,25,0,8,1
5009258,0,0,0,0,144000,4,4,3,1,1,0,0,0,1,1,44,25,0,8,1
5009260,0,0,0,0,202500,2,1,1,5,1,0,1,0,3,2,40,4,0,20,1
5009261,0,0,0,0,202500,2,1,1,5,1,0,1,0,3,2,40,4,1,21,1
5009262,0,0,0,0,202500,2,1,1,5,1,0,1,0,3,2,40,4,0,9,1
5009263,0,0,0,0,202500,2,1,1,5,1,0,1,0,3,2,40,4,1,16,1
5009265,1,1,0,0,337500,2,1,1,5,1,1,1,0,10,2,29,5,0,36,1
5009266,1,1,0,0,337500,2,1,1,5,1,1,1,0,10,2,29,5,0,16,1
5009267,1,1,0,0,337500,2,1,1,5,1,1,1,0,10,2,29,5,0,18,1
5009268,1,1,0,0,337500,2,1,1,5,1,1,1,0,10,2,29,5,0,27,1
